timestamp,fixture_id,categoria,entrada,jogo,minuto,placar,odd,probabilidade_estimada,probabilidade_implicita,ev,shots_on,total_shots,corners,xg
2026-08-12 19:15:19,1547763,VITÓRIA,Vitória Platense,Platense x Coquimbo Unido,14,0-0,2.200,0.5400,0.4545,0.1880,1.0,3.0,2.0,0.16
2026-08-12 19:21:31,1547762,VITÓRIA,Vitória Palmeiras,Palmeiras x Cerro Porteno,21,0-0,2.100,0.5600,0.4762,0.1760,4.0,6.0,5.0,0.32
2026-08-13 16:15:50,1607622,VITÓRIA,Vitória Ajax,Shelbourne x Ajax,29,1-1,2.250,0.5600,0.4444,0.2600,3.0,10.0,7.0,0
